id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
453,Garnacho,7,CHE,MID,56,1,4,3,4,1261,75,0.4,6.4
454,Antony,14,MUN,MID,0,0,0,0,0,0,117,0.1,5.9
455,Mount,14,MUN,MID,58,3,0,3,5,1010,116,0.3,5.9
456,Sancho,2,AVL,MID,37,0,2,0,2,863,118,0.2,5.8
457,Casemiro,14,MUN,MID,165,9,4,20,9,2575,212,3.8,5.8
458,Mainoo,14,MUN,MID,73,1,2,2,6,1653,280,1.4,4.7
459,Ugarte,14,MUN,MID,38,0,0,0,1,876,318,0.1,4.7
460,Collyer,14,MUN,MID,0,0,0,0,0,0,564,0.0,4.5
461,Fitzgerald,14,MUN,MID,0,0,0,0,0,0,659,0.0,4.3
462,J.Fletcher,14,MUN,MID,3,0,0,0,0,107,662,0.1,4.3
463,Kone,14,MUN,MID,0,0,0,0,0,0,626,0.1,4.3
464,Moorhouse,14,MUN,MID,0,0,0,0,0,0,663,0.0,4.5
465,Højlund,14,MUN,FWD,0,0,0,0,0,0,69,0.3,6.3
466,Zirkzee,14,MUN,FWD,42,2,1,6,2,607,100,0.4,5.8
467,Obi,14,MUN,FWD,0,0,0,0,0,0,481,1.4,4.2
468,Wheatley,14,MUN,FWD,0,0,0,0,0,0,563,0.1,4.5
469,Pope,15,NEW,GKP,96,0,1,3,7,2416,261,4.5,5.0
470,Dúbravka,3,BUR,GKP,96,0,0,7,4,3150,683,25.7,4.0
471,Gillespie,15,NEW,GKP,0,0,0,0,0,0,824,0.1,3.9
472,Odysseas,15,NEW,GKP,0,0,0,0,0,0,817,0.0,4.0
473,Hall,15,NEW,DEF,79,1,2,4,4,2176,153,3.3,5.3
474,Schär,15,NEW,DEF,51,0,0,0,4,1089,170,1.1,5.2
475,Botman,15,NEW,DEF,89,1,1,6,5,1834,296,0.5,4.9
476,Burn,15,NEW,DEF,93,1,3,5,6,2195,267,3.6,5.0
477,Livramento,15,NEW,DEF,59,0,1,3,6,1326,256,1.8,4.9
478,Trippier,15,NEW,DEF,54,0,1,2,5,1586,277,1.4,4.9
479,Krafth,15,NEW,DEF,0,0,0,0,0,45,629,0.0,4.3
480,Lascelles,15,NEW,DEF,1,0,0,0,0,19,613,0.0,4.3
481,A.Murphy,15,NEW,DEF,2,0,0,0,0,7,732,0.7,3.8
482,Ashby,15,NEW,DEF,0,0,0,0,0,0,803,0.1,3.9
483,Pivas,15,NEW,DEF,0,0,0,0,0,0,805,0.4,3.8
484,Targett,15,NEW,DEF,0,0,0,0,0,0,743,0.1,4.0
485,Gordon,15,NEW,MID,101,6,4,10,8,1798,26,3.1,7.2
486,Elanga,15,NEW,MID,48,0,1,0,2,1302,31,2.6,6.5
487,Barnes,15,NEW,MID,106,7,1,9,5,1951,71,1.3,6.1
488,Bruno G.,15,NEW,MID,154,9,7,22,6,2456,64,6.5,6.9
489,J.Murphy,15,NEW,MID,82,3,2,5,8,1606,59,0.6,5.9
490,Joelinton,15,NEW,MID,73,2,1,2,5,1950,110,0.3,5.9
491,Tonali,15,NEW,MID,81,0,2,2,7,2534,166,1.0,5.3
492,Antoñito C.,15,NEW,MID,0,0,0,0,0,0,378,0.0,4.9
493,Longstaff,11,LEE,MID,56,2,2,5,1,1003,303,0.2,4.8
494,Willock,15,NEW,MID,38,0,2,0,3,972,323,0.1,5.0
