league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Prem,2026-05-14 14:36:39.668049+00:00,37,MN,waiver,successful,17.0,6.0,DEF,403,Gvardiol (0),36,Cash (0),0,0,0,0,waiver - successful
Prem,2026-05-14 14:36:39.668084+00:00,37,MN,waiver,unsuccessful - player out already gone,22.0,8.0,DEF,318,Bassey (2),148,F.Kadıoğlu (2),2,2,0,0,waiver - unsuccessful - player out already gone
Prem,2026-05-14 14:36:39.668121+00:00,37,MN,waiver,unsuccessful - player in already been picked up,24.0,10.0,DEF,293,O'Brien (0),36,Cash (0),0,0,0,0,waiver - unsuccessful - player in already been picked up
Prem,2026-05-14 19:40:49.244396+00:00,37,LD,free agent,successful,,,FWD,30,Havertz (8),100,Kroupi.Jr (8),8,8,0,0,free agent - successful
Prem,2026-05-20 07:23:34.422312+00:00,38,AN,waiver,successful,10.0,3.0,DEF,473,Hall (1),476,Burn (1),1,1,0,0,waiver - successful
Prem,2026-05-22 22:19:30.763076+00:00,38,MN,waiver,successful,19.0,5.0,DEF,475,Botman (3),106,Collins (3),3,3,0,0,waiver - successful
Prem,2026-05-22 22:19:30.763095+00:00,38,MN,waiver,successful,22.0,6.0,FWD,100,Kroupi.Jr (2),654,Strand Larsen (2),2,2,0,0,waiver - successful
Conf,2025-11-25 12:52:33.609867+00:00,13,AC,waiver,successful,5.0,2.0,MID,414,Foden (15),241,Caicedo (-2),15,-2,17,17,waiver - successful
Conf,2025-11-20 18:47:55.353159+00:00,12,PV,waiver,successful,6.0,2.0,DEF,407,Matheus N. (1),506,Murillo (17),1,17,-16,16,waiver - successful
Conf,2025-11-20 18:47:55.353180+00:00,12,PV,waiver,unsuccessful - player in already been picked up,11.0,3.0,DEF,411,O'Reilly (1),506,Murillo (17),1,17,-16,16,waiver - unsuccessful - player in already been picked up
Conf,2026-01-05 10:05:27.304251+00:00,21,CR,waiver,successful,2.0,1.0,DEF,106,Collins (13),224,Cucurella (-3),13,-3,16,16,waiver - successful
Conf,2025-08-28 11:35:34.513948+00:00,3,HC,waiver,successful,4.0,1.0,DEF,370,Frimpong (0),260,Guéhi (15),0,15,-15,15,waiver - successful
Conf,2026-04-15 19:58:14.951630+00:00,33,PV,waiver,successful,21.0,10.0,DEF,406,Khusanov (15),408,Rúben (0),15,0,15,15,waiver - successful
Conf,2026-04-17 09:49:48.933767+00:00,33,AC,waiver,unsuccessful - player out already gone,13.0,2.0,MID,698,Okafor (16),386,Mac Allister (1),16,1,15,15,waiver - unsuccessful - player out already gone
Conf,2026-04-17 09:49:48.933785+00:00,33,AC,waiver,successful,14.0,3.0,MID,698,Okafor (16),324,Iwobi (1),16,1,15,15,waiver - successful
Conf,2025-10-17 09:36:16.183942+00:00,8,PV,waiver,successful,5.0,3.0,DEF,694,Mukiele (17),374,Konaté (3),17,3,14,14,waiver - successful
